Ticker,Date,Close,RSI,ATR_Pct,Overext,RR,MomCons,VolSurge,ML_Prob,PassesCore,PassesSpec,Tech_Score,Final_Score,R_5d,Excess_5d,Fund_Score
META,2024-11-18,552.6622314453125,30.215890276460385,0.0270923283744957,-0.02576486795540145,10.0,0.2857142857142857,1.0276753554952798,0.5,False,True,36.38364746064316,30.01100610335374,1.9318113296147965,0.3369586206770414,
META,2024-11-19,559.3312377929688,38.87885652806516,0.026643272719880786,-0.015972445845875094,4.592055270719969,0.35714285714285715,0.6806400978959798,0.5,False,True,34.70173376696017,29.085953571828092,2.2188908590199397,0.46555106575112415,
MSFT,2024-11-18,412.6619567871094,42.90589526539291,0.022353196762968475,-0.0160550730385155,1.782142728778725,0.6428571428571429,1.0623941182713141,0.5,True,True,33.99751419368208,28.698632806525143,0.9304023404044903,-0.6644503685332648,
WMT,2024-11-18,83.26809692382812,54.0019929618458,0.01535103485001688,0.03272593462790163,0.5278839792771043,0.5714285714285714,1.899270643682589,0.5,True,True,33.82207315599931,28.602140235799624,6.446238980784158,4.851386271846403,
WMT,2024-11-19,85.7637710571289,73.00232956932317,0.017939640444966487,0.06164672296118612,0.0,0.6428571428571429,2.520632223272267,0.5,True,True,32.85059831116441,28.067829071140427,5.438791434637613,3.6854516413687977,
MSFT,2024-11-19,414.67681884765625,46.529497632110775,0.022217237262702805,-0.011418849892957716,1.2884602980068374,0.6428571428571429,0.7916016493392625,0.5,True,True,32.06435492327562,27.635395207801594,2.646464230177359,0.8931244369085434,
AAPL,2024-11-18,226.99337768554688,55.29449421814339,0.017823136533919027,0.0046417270981820025,1.2121480232441295,0.35714285714285715,1.0077577138553053,0.5,False,True,31.755441144790115,27.465492629634564,2.126996085972821,0.5321433770350659,
NVDA,2024-11-18,140.10980224609375,42.11463850907944,0.03341827238124788,0.06463925481119026,1.1813371336514034,0.5,1.0818874012559914,0.5,True,True,30.789497433146273,26.934223588230452,-2.9468312511244488,-4.541683960062204,
AAPL,2024-11-19,227.252197265625,56.0960710683704,0.017610256840267815,0.005042242647799844,0.788027173107377,0.42857142857142855,0.8200438557854377,0.5,True,True,30.585414229890834,26.82197782643996,2.9700400182633757,1.2167002249945602,
AMZN,2024-11-18,201.6999969482422,47.372189208177126,0.029959626080012708,0.05222739620482608,0.7298420413559225,0.5,0.8043748746267523,0.5,True,True,29.401650151914744,26.17090758355311,-0.12394645700671836,-1.7187991659444735,
GOOGL,2024-11-18,174.5303192138672,52.0704777536055,0.02502242154050162,0.05509102806245969,0.5023848015954718,0.5714285714285714,0.7101647092018482,0.5,True,True,28.61136210923107,25.73624916007709,-4.363946239291961,-5.958798948229716,
GOOGL,2024-11-19,177.33792114257812,58.845682880244745,0.02180713309000776,0.06827549135444477,0.22727408436519106,0.5714285714285714,0.8166511826943784,0.5,True,True,28.245614671630044,25.535088069396526,-5.05277138617407,-6.806111179442886,
AMZN,2024-11-19,204.61000061035156,53.16580242507048,0.030140963673168625,0.06462465837672315,0.476884844413978,0.5,0.6880543193697792,0.5,True,True,28.20019170213354,25.510105436173447,1.5883876595988777,-0.16495213366993777,
NVDA,2024-11-19,146.9678497314453,58.93904871292934,0.033092991460501715,0.11018638786773982,0.13123019133072483,0.5714285714285714,1.1138970024088855,0.5,True,True,28.038967849119583,25.42143231701577,-6.863471967781343,-8.616811761050158,
JPM,2024-11-18,239.95050048828125,71.98164309471517,0.02545167956114813,0.11589025746534132,0.0803958824571223,0.7142857142857143,0.9769934735057145,0.5,True,True,27.247036240800863,24.985869932440476,2.146674080576405,0.55182137163865,
JPM,2024-11-19,238.0507049560547,65.50241984520568,0.025322764089337608,0.1031585215392361,0.1703135611801259,0.6428571428571429,0.7444185322701549,0.5,True,True,26.828170011002904,24.7554935060516,2.8302293760016584,1.0768895827328429,
V,2024-11-19,309.65069580078125,79.28196143963075,0.015385451094464861,0.08426816624656874,0.01011223112754485,0.5714285714285714,0.8691026921636663,0.5,False,True,26.63040277762866,24.646721527695764,-0.009628808923234367,-1.7629686021920499,
V,2024-11-18,309.95849609375,80.95987746379899,0.017693524933895817,0.08739144888148576,0.0,0.6428571428571429,0.8096238169518518,0.5,False,True,25.886381210051074,24.237509665528094,0.3299490386660331,-1.264903670271722,
