Ticker,Date,Close,RSI,ATR_Pct,Overext,RR,MomCons,VolSurge,ML_Prob,PassesCore,PassesSpec,Tech_Score,Final_Score,R_5d,Excess_5d,R_10d,Excess_10d,R_20d,Excess_20d,Fund_Score
V,2024-08-06,255.43978881835938,39.77310975242578,0.021832924323376433,-0.03768689566278649,3.1946837413136375,0.5714285714285714,2.6200800219930005,0.5,True,True,40.43095145737522,32.23702330155638,0.9260534719926605,-2.8831611017991143,3.994993698516325,-3.004884302562205,8.825386478852316,3.309741659961386,
MSFT,2024-07-30,419.0133361816406,31.570565522823628,0.02311987140214299,-0.03703101332762326,9.876184050919301,0.35714285714285715,1.7208755050737703,0.5,False,True,39.49443242012378,31.72193783106808,-5.51167791884607,-1.8493327612334802,-2.1067820500298984,-2.114144880722746,-1.9706007816766902,-5.579451087096976,
GOOGL,2024-08-14,159.4542694091797,34.46381568896055,0.030180184502098077,-0.08915435683322726,10.0,0.5,1.3177604393324762,0.5,True,True,39.44567246232671,31.695119854279692,3.4171116828285664,0.31458386392011484,1.5464409313114436,-1.1294142402197282,-3.413800676459655,-6.234957029990317,
GOOGL,2024-09-11,150.49630737304688,31.139487214880035,0.02703449020619403,-0.10541120207327459,6.319409024031388,0.35714285714285715,1.1949118870682207,0.5,False,True,39.44198361047111,31.693090985759113,5.722419492957775,4.463436939347454,6.833823958529139,3.701087483801002,7.078599190544477,2.661318709993643,
AMZN,2024-08-06,161.92999267578125,21.30905492653517,0.04811160984021314,-0.1292710114861495,10.0,0.35714285714285715,1.202227028169538,0.5,False,True,39.30121163963107,31.61566640179709,5.125673702941613,1.3164591291498384,10.467493962634112,3.467615961555582,7.040085018776421,1.5244401998854906,
V,2024-08-07,253.71876525878906,36.72705545154888,0.02216480064977227,-0.042888731577173766,5.820193230817041,0.5714285714285714,1.5362552721525615,0.5,True,True,38.93168303592545,31.412425669759,2.0051765387097964,-2.8322890615746443,4.762921996548775,-3.3271551386230716,8.833126960995784,2.865826194996534,
AMZN,2024-08-01,184.07000732421875,45.77756008159499,0.03084616743391869,-0.016195563490385645,3.7748786890462176,0.35714285714285715,1.7177177411527376,0.5,False,True,38.856737869322515,31.371205828127383,-9.925573719503566,-7.649384032350836,-3.520405676365468,-5.373061419293568,-6.492101771899561,-9.317103078539546,
META,2024-10-31,565.8009033203125,40.55659953983533,0.023110597349678234,0.022185278864172098,7.29039112300307,0.5,2.308547511045605,0.5,True,True,38.83444163407483,31.35894289874116,4.249627996818162,-0.4932574794150435,1.6878707221791522,-2.6575761433976552,1.1875083737123315,-4.775841622137622,
AMZN,2024-08-07,162.77000427246094,23.632201465253857,0.046950555747396934,-0.12305841813623464,10.0,0.42857142857142855,0.9558776269223536,0.5,False,True,38.68699140343737,31.277845271890556,4.503287853199889,-0.33417774708455195,10.653066217818097,2.5629890826462507,9.289177809369665,3.3218770433704146,
JPM,2024-09-11,201.6980743408203,34.009865692985386,0.02449659321345141,-0.01798084353441043,10.0,0.6428571428571429,1.6426143866307807,0.5,True,True,38.60988285255543,31.235435568905487,0.14476696837799619,-1.1142155852323254,1.4283709517391774,-1.7043655229889598,3.618130216889459,-0.7991502636613745,
AMZN,2024-08-02,167.89999389648438,23.528070209285502,0.04154257080264038,-0.10115466860699407,,0.35714285714285715,3.069306017611224,0.5,False,True,38.58137690843834,31.21975729964109,-0.5717638415579596,-0.5886363583560539,5.455630729657335,1.4380065660736907,6.31328558001667,0.5373614405266514,
META,2024-05-01,436.9622497558594,29.377923137228265,0.04974907622248086,-0.10715990488999205,9.77272943672892,0.35714285714285715,0.9569630279785474,0.5,False,True,38.54264925861394,31.19845709223767,7.607194920598204,4.241551568462909,9.642753554714535,3.760882250301446,6.343490418852582,1.8946127317255312,
META,2024-07-31,472.8905029296875,47.78099966254525,0.0354412737752158,-0.033627085493628694,3.0382762251367623,0.5,1.5876304227952291,0.5,True,True,38.434452020186704,31.138948611102688,2.9673826427449868,8.804238851490165,10.93656062504147,12.218307144738317,8.834748480801991,7.474937509500879,
AAPL,2024-11-01,221.66250610351562,27.62192527674715,0.01852765358368643,-0.01859605217714233,10.0,0.5,1.5756703998200245,0.5,True,True,38.36056316459436,31.0983097405269,1.9288939932982085,-2.825593491530376,1.0486495580535715,-1.5273437761026853,,,
V,2024-09-24,270.3422546386719,31.08645766519159,0.01971237285128352,0.007350139104284503,5.231194139948193,0.5,1.7497341567657103,0.5,True,True,38.2784324539343,31.053137849663866,1.7669997714079289,2.2360977108091817,0.7991578781011643,0.4718349803884303,4.402818737776681,2.298836460576026,
AMZN,2024-08-08,165.8000030517578,31.988934033701256,0.045799584526031535,-0.1051574741466822,6.002094093761771,0.5,0.8809555331315967,0.5,True,True,38.17854635692684,30.998200496309764,7.110972900556778,2.88595811975465,6.230399059661029,1.4117933374266034,3.371529695415987,1.541699672013097,
V,2024-08-12,257.56744384765625,47.4184875601157,0.020445632579834273,-0.026145181327017486,1.842086276033356,0.7142857142857143,2.8478478957687714,0.5,True,True,38.136959677298556,30.975327822514206,2.531833643958459,-2.407500557398645,3.2013502417662654,-1.9592544930884914,9.79259404950492,6.8822625329790545,
AAPL,2024-08-02,218.3767852783203,45.86279835504069,0.025496758568149095,0.03415149151944008,6.312307562665699,0.5714285714285714,1.9108509336405362,0.5,True,True,38.118858988978936,30.965372443938417,-1.646496348646176,-1.6633688654442702,2.9344429086986423,-1.0831812548850017,4.277757370782087,-1.4981667687079314,
