Ticker,Date,Close,RSI,ATR_Pct,Overext,RR,MomCons,VolSurge,ML_Prob,PassesCore,PassesSpec,Tech_Score,Final_Score,Market_Trend,Market_Volatility,SPY_RSI,Relative_Strength_20d,Dist_From_52w_High,Vol_Breakout,Price_Breakout,Mom_Acceleration,R_5d,Excess_5d,R_10d,Excess_10d,R_20d,Excess_20d,Fund_Score
V,2024-08-06,255.43978881835938,39.77313377137197,0.021832919656775786,-0.03768688570559564,3.194690567531776,0.5714285714285714,2.6200800219930005,0.5,True,True,40.430960988413624,32.237028543627495,0.0,0.19660787153805392,29.766181475869956,0.033528013618827956,-0.1107438683974532,1.0,0.0,0.0,0.9260534719926605,-2.8831976087305256,3.9950056455893668,-3.0049096197310554,8.825398425925336,3.3097166950782917,
MSFT,2024-07-30,419.0133972167969,31.570637197405347,0.02311987859688845,-0.037030877109981986,9.876035817478057,0.35714285714285715,1.7208755050737703,0.5,False,True,39.49442833359454,31.721935583477,0.0,0.13890402242793276,33.92691436843472,-0.06790157307254763,-0.0969999650312583,1.0,0.0,0.0,-5.5116916823904845,-1.8493126445957349,-2.106789026346312,-2.114151856197366,-1.9706223442271242,-5.579460804083192,
GOOGL,2024-08-14,159.4542694091797,34.46381482575384,0.030180205144068523,-0.08915437429933604,10.0,0.5,1.3177604393324762,0.5,True,True,39.44567298630998,31.69512014247049,0.0,0.21555552892943022,53.152332241537366,-0.09039293626287814,-0.1636506518141555,0.0,0.0,1.0,3.417102113445991,0.3145742945375396,1.5464409313114436,-1.1294256363908683,-3.4138102458422193,-6.234966599372882,
GOOGL,2024-09-11,150.49630737304688,31.13955387896054,0.02703449749792406,-0.10541121181021196,6.319364152990724,0.35714285714285715,1.1949118870682207,0.5,False,True,39.44198390257923,31.693091146418578,0.0,0.14840459621049848,44.69545227534681,-0.1008088654388315,-0.2106358202750127,0.0,0.0,1.0,5.722409353978719,4.463426941082971,6.8338340975081735,3.7011091497683113,7.07858905156542,2.661320241574394,
AMZN,2024-08-06,161.92999267578125,21.30905492653517,0.04811160984021314,-0.1292710114861495,10.0,0.35714285714285715,1.202227028169538,0.5,False,True,39.30121163963107,31.61566640179709,0.0,0.19660787153805392,29.766181475869956,-0.12709200653651653,-0.195178950636679,0.0,0.0,0.0,5.125673702941613,1.3164226222184272,10.467493962634112,3.46757869731369,7.040085018776421,1.5244032879293767,
V,2024-08-07,253.71878051757812,36.7271038021679,0.02216479487582233,-0.04288866740486608,5.820166481687014,0.5714285714285714,1.5362552721525615,0.5,True,True,38.931681110756216,31.41242461091592,0.0,0.19085752379514045,30.042273870077864,0.051360484043643906,-0.11673517144028833,1.0,0.0,0.0,2.0051704040615626,-2.832295196222878,4.762915696048187,-3.3271614391236595,8.833108387599165,2.865807621599914,
AMZN,2024-08-01,184.07000732421875,45.77756008159499,0.03084616743391869,-0.016195563490385645,3.7748786890462176,0.35714285714285715,1.7177177411527376,0.5,False,True,38.856737869322515,31.371205828127383,0.0,0.15643951158561803,37.58043828041788,-0.05310145642259301,-0.0851391147308519,1.0,0.0,1.0,-9.925573719503566,-7.649384292102812,-3.520405676365468,-5.373049796172369,-6.492101771899561,-9.317068521053805,
META,2024-10-31,565.8009643554688,40.55663130411123,0.023110603147315598,0.022185358698667113,7.290375383646809,0.5,2.308547511045605,0.5,True,True,38.83443923903998,31.358941581471992,0.0,0.11506735763261468,35.605316720748604,-0.027509254002838435,-0.058661601282885445,1.0,0.0,1.0,4.249627538394218,-0.49325793783898675,1.6878597527120398,-2.6575871128647677,1.187486670831328,-4.775852460994057,
AMZN,2024-08-07,162.77000427246094,23.632201465253857,0.046950555747396934,-0.12305841813623464,10.0,0.42857142857142855,0.9558776269223536,0.5,False,True,38.68699140343737,31.277845271890556,0.0,0.19085752379514045,30.042273870077864,-0.10929523250523532,-0.1910039426375697,0.0,0.0,0.0,4.503287853199889,-0.33417774708455195,10.653066217818097,2.5629890826462507,9.289177809369665,3.3218770433704146,
JPM,2024-09-11,201.69808959960938,34.009963456139616,0.024496596059286287,-0.017980766324834363,10.0,0.6428571428571429,1.6426143866307807,0.5,True,True,38.60988053626814,31.23543429494748,0.0,0.14840459621049848,44.69545227534681,-0.026254270970575866,-0.08093843693944536,1.0,0.0,0.0,0.14476695742613455,-1.1142154554696138,1.4283632785176748,-1.7043616692221875,3.618122378009092,-0.7991464319819341,
AMZN,2024-08-02,167.89999389648438,23.528070209285502,0.04154257080264038,-0.10115466860699407,,0.35714285714285715,3.069306017611224,0.5,False,True,38.58137690843834,31.21975729964109,0.0,0.16663201588794746,31.392199917195214,-0.12130351479134382,-0.16550697592865315,1.0,0.0,0.0,-0.5717638415579596,-0.5886596147541279,5.455630729657335,1.4380065660736907,6.31328558001667,0.5373498123276255,
META,2024-05-01,436.9622497558594,29.377898278403592,0.04974908174679819,-0.10715991268437164,9.77272943672892,0.35714285714285715,0.9569630279785474,0.5,False,True,38.54264949244533,31.198457220844933,0.0,0.1372451330515948,32.953472901020945,-0.09660767105560486,-0.17366270182757237,0.0,0.0,0.0,7.6071879365674056,4.241550796742399,9.642753554714535,3.760869825680847,6.343490418852582,1.8946127317255312,
META,2024-07-31,472.8905029296875,47.78099743418755,0.03544125568391689,-0.03362708910964374,3.038279086268855,0.5,1.5876304227952291,0.5,True,True,38.43445624869738,31.138950936783562,0.0,0.1490171551621457,45.57519556184861,-0.07132579506627434,-0.12523711855232578,1.0,0.0,1.0,2.9673826427449868,8.804249444937861,10.936547718215062,12.218305343813984,8.834761387628397,7.4749505693073806,
