RSI,ATR_Pct,Overext,RR,MomCons,VolSurge,Market_Trend,Market_Volatility,SPY_RSI,Relative_Strength_20d,Dist_From_52w_High,Vol_Breakout,Price_Breakout,Mom_Acceleration,RR_MomCons,RSI_Neutral,RSI_Squared,Risk_Score,Vol_Mom,Overext_Mom_Div,RR_Risk_Adj,ATR_Regime
-0.08138575,-0.094272025,0.056461826,-0.15827574,0.082847744,0.07342229,0.006878312,0.25827512,0.11771858,0.12944534,-0.2680379,0.0,0.0,-0.09588754,-0.047657654,0.18794155,0.0,-0.03520271,0.038915634,0.014358832,-0.22892481,0.0
-0.2211938,0.2483726,-0.18531796,-0.26830497,-0.10969476,0.10140371,0.011185706,0.064072944,-0.09576684,-0.3063399,-0.18503971,0.0,0.0,0.055850826,-0.04765434,-0.0921907,0.0,-0.10633067,0.13029876,-0.26073435,0.04999892,0.0
-0.14546977,-0.41135427,0.29566467,-0.21722272,-0.021618307,-0.029479677,-0.008599456,0.33846065,0.063314684,0.13846438,-0.20327991,0.0,0.0,-0.05853266,-0.039331604,0.11058604,0.0,-0.06642457,-0.010542752,0.002230787,-0.06209149,0.0
-0.122877225,0.8948607,-0.16610925,-0.047906373,-0.058783107,0.057347532,-0.0045076637,0.36886188,0.06550797,-0.15045995,-0.15113443,0.0,0.0,-0.1647659,0.19433089,0.15223743,0.0,-0.08053882,0.13103923,-0.34269595,0.101804264,0.0
-0.29589868,0.061328102,0.031626612,-0.30862573,-0.030730318,-0.054087948,-0.008634115,0.3390329,0.01957689,0.010721287,-0.093217574,0.0,0.0,-0.1033566,0.20056875,-0.49045613,0.0,-0.08341828,0.06408644,-0.18300742,0.027313212,0.0
-0.22288834,-0.043206207,-0.15197818,-0.2840705,-0.00949407,-0.036318813,-0.030599631,0.43034607,0.053440288,-0.08522603,0.77660054,0.0,0.0,0.116224796,0.14285298,-0.36040437,0.0,-0.12206189,-0.054527786,-0.35086918,0.002727713,0.0
-0.010797329,1.0043141,0.31232375,-0.16920972,-0.0014209204,-0.07021282,0.0070831985,0.3557616,0.12848695,-0.08936615,-0.18607473,0.0,0.0,-0.089408115,-0.133146,0.14450029,0.0,-0.06064317,-0.018874153,-0.045637712,-0.18834662,0.0
-0.21011575,-0.09222057,0.09255709,-0.123761855,0.05618437,-0.029783474,0.006437577,-2.4454556,-0.042084273,-0.1380761,0.51299375,0.0,0.0,0.088122874,0.09653728,-0.23224089,0.0,-0.28859916,0.13535322,-0.18375668,0.036587454,0.0
-0.24552171,1.3378166,0.050715085,-0.22137025,-0.10100617,-0.005313038,0.016799035,0.3770495,-0.23234668,0.9585702,0.0017593671,0.0,0.0,0.08619055,0.06666935,-0.058141492,0.0,-0.030614208,0.008428784,-0.022094922,0.07843285,0.0
-0.20856126,-0.23481709,0.08615131,-0.12570737,-0.09802884,0.029526278,0.016965946,0.35169774,0.2749558,0.026010841,0.96168095,0.0,0.0,0.17440212,0.23724525,-0.005711157,0.0,-0.0683696,-0.0028730938,-0.22163111,-0.0009945724,0.0
