Ticker,risk_gate_status_v2,risk_gate_reason_v2,reward_risk_v2,conviction_v2_base,conviction_v2_final,buy_amount_v2,shares_to_buy_v2,reliability_score_v2,fund_sources_used_v2,price_sources_used_v2,fund_disagreement_score_v2,price_variance_score_v2
MMM,reduced,rr_gate=reduced;rel_gate=full;quality=good,1.049413559721979,45.85560314858836,22.621782225525447,50.0,0,51.38241646281614,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],81.25,88.82416462816138
AOS,full,rr_gate=full;rel_gate=full;quality=good,5.0,57.736649822558384,52.19424302005698,50.0,0,51.577665483722555,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],81.25,90.77665483722556
ABT,full,rr_gate=full;rel_gate=full;quality=good,3.0967031564764818,52.04229124915795,48.54881067080844,50.0,0,51.68121186485667,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],81.25,91.8121186485667
ABBV,reduced,rr_gate=reduced;rel_gate=full;quality=good,1.2028935472182678,46.336668067665336,23.9411737345429,50.0,0,51.51991617340359,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],81.25,90.19916173403585
ACN,full,rr_gate=full;rel_gate=full;quality=good,5.0,57.71527338002553,52.14551603585538,50.0,0,51.43515586683685,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],81.25,89.35155866836847
ADBE,full,rr_gate=full;rel_gate=full;quality=good,5.0,57.6864656258996,52.07989055254562,50.0,0,51.243104172664005,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],81.25,87.43104172664003
AMD,full,rr_gate=full;rel_gate=full;quality=good,2.0740697872192433,48.75619124269951,46.129015351461945,50.0,0,50.22654587361182,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],81.25,77.26545873611816
AES,reduced,rr_gate=reduced;rel_gate=full;quality=good,1.7478768851601911,47.834766009039484,34.54180316343602,50.0,3,50.60756902372606,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],81.25,81.07569023726055
AFL,reduced,rr_gate=reduced;rel_gate=full;quality=good,1.3355800111477736,46.75960267294962,25.08897665346142,50.0,0,51.685750930041976,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],81.25,91.85750930041975
A,reduced,rr_gate=reduced;rel_gate=full;quality=good,1.1988755457747637,46.29389223268182,23.87711746549127,50.0,0,51.3151039690502,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],81.25,88.151039690502
APD,full,rr_gate=full;rel_gate=full;quality=good,5.0,57.729312488076495,52.177514859127044,50.0,0,51.52874992050997,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],81.25,90.28749920509975
ABNB,full,rr_gate=full;rel_gate=full;quality=good,5.0,57.65982490389359,52.01924352882276,50.0,0,51.0654993592906,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],81.25,85.65499359290595
AKAM,full,rr_gate=full;rel_gate=full;quality=good,2.4888544998471973,50.10375393390975,47.135899546228075,50.0,0,50.91460289578772,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],81.25,84.14602895787723
ALB,blocked,rr_gate=blocked;rel_gate=full;quality=good,0.8460120486861683,45.064029080713595,6.3450903651462625,0.0,0,50.173286231033984,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],81.25,76.73286231033984
