Ticker,reward_risk_v2,fund_sources_used_v2,price_sources_used_v2,reliability_score_v2,risk_gate_reason_v2
MDT,0.9525232890442276,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.67855707190153,rr_gate=blocked;rel_gate=full;quality=good
MNST,0.27094670158956147,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.61910668854683,rr_gate=blocked;rel_gate=full;quality=good
NEE,0.9246955381327195,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.44395450317314,rr_gate=blocked;rel_gate=full;quality=good
NUE,0.8544073379497249,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.07959744903483,rr_gate=blocked;rel_gate=full;quality=good
PLD,0.9811790704007566,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.400960312642795,rr_gate=blocked;rel_gate=full;quality=good
RL,0.6364658087363271,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.00120946097437,rr_gate=blocked;rel_gate=full;quality=good
ROL,0.26237815670944437,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.68676035601601,rr_gate=blocked;rel_gate=full;quality=good
ROST,0.6758147051103635,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.538847230492415,rr_gate=blocked;rel_gate=full;quality=good
STE,0.963235932330115,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.6211933762935,rr_gate=blocked;rel_gate=full;quality=good
TJX,0.609769159192518,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.82167508041009,rr_gate=blocked;rel_gate=full;quality=good
TRV,0.416521623002243,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.63742360580121,rr_gate=blocked;rel_gate=full;quality=good
UHS,0.3726730221682582,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.26884282985523,rr_gate=blocked;rel_gate=full;quality=good
VTR,0.2457740707817101,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.64501428162825,rr_gate=blocked;rel_gate=full;quality=good
WRB,0.7133506784578766,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.672899946757326,rr_gate=blocked;rel_gate=full;quality=good
WMT,0.769188736491462,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.55642586164479,rr_gate=blocked;rel_gate=full;quality=good
WBD,0.367437513800937,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],50.10630572559003,rr_gate=blocked;rel_gate=full;quality=good
WELL,0.15578947049128145,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.68188448711529,rr_gate=blocked;rel_gate=full;quality=good
